Posisi,Perusahaan,Lokasi,Type,Gaji,Requirements,Link
Site Manager / Manajer Lapangan,PT Wellz-In Indonesia,Jakarta Selatan,Full time,,"Memimpin, mengawasi, dan mengoordinasikan seluruh aktivitas di lapangan agar proyek berjalan sesuai jadwal, anggaran, dan standar kualitas.; Melakukan koordinasi harian dengan subkontraktor, supplier, dan tim internal perusahaan.; Membaca dan menganalisis gambar kerja (shop drawing) serta memastikan pelaksanaan di lapangan sesuai desain.; Membuat laporan harian, mingguan, dan bulanan mengenai progres proyek kepada manajemen.; Mengidentifikasi potensi masalah teknis di lapangan dan memberikan solusi yang cepat dan tepat.; Memastikan standar keselamatan kerja (K3) dipatuhi oleh seluruh pekerja di lokasi proyek.; Mengelola material dan peralatan proyek secara efisien untuk meminimalkan pemborosan.; Berkoordinasi langsung dengan klien di lapangan dan menjaga hubungan profesional yang baik.; Berdomisili di Jakarta atau bersedia berdomisili di Jakarta.; Pendidikan minimal D3/S1 Teknik Sipil, Arsitektur, Manajemen Konstruksi, atau bidang terkait.; Pengalaman minimal 6 tahun sebagai Site Manager atau Supervisor Lapangan di proyek interior atau konstruksi.; Menguasai Bahasa Indonesia dengan sangat baik (lisan dan tulisan) — syarat utama.; Kemampuan Bahasa Inggris (lisan/tulisan) merupakan nilai tambah.; Mampu membaca gambar teknik menggunakan AutoCAD, SketchUp, atau software sejenis.; Memiliki kemampuan komunikasi dan kepemimpinan yang baik.; Berjiwa muda, bersemangat tinggi, dan bersikap positif dalam menghadapi tekanan kerja.; Teliti, disiplin, dan memiliki manajemen waktu yang baik.; Bersedia ditugaskan aktif di lapangan di area Jakarta dan sekitarnya.; Gaji pokok kompetitif sesuai pengalaman dan kemampuan.; Tunjangan transportasi, makan, proyek, dan BPJS; Bonus proyek berdasarkan kinerja.; Lingkungan kerja yang dinamis, profesional, dan suportif.; Jenjang karir yang jelas di perusahaan dengan rekam jejak 16+ tahun.; Pelatihan dan pengembangan kompetensi secara berkelanjutan.; Surat Lamaran Kerja; Curriculum Vitae (CV) terbaru dengan foto; Fotokopi KTP dan ijazah terakhir; Portofolio atau referensi proyek (jika ada)",https://id.jobstreet.com/id/job/91174058?type=standard&ref=search-standalone&origin=cardTitle
Staff Procurement Raw Material,SPS Corporate,Ngoro,Full time,,"Bachelor degree in any field with min GPA 3.00; At least 1 years of experience in related fields or fresh graduates are welcome to apply; Meticulous with good negotiation skills; Ability to work under pressure and tight deadlines; Good communication skills; Placement in Ngoro, Mojokerto",https://id.jobstreet.com/id/job/91337660?type=standard&ref=search-standalone&origin=cardTitle
Project Tender Engineer – Construction Department,PT Takenaka Indonesia,Jakarta Pusat,Full time,,"Analyzetender documentsand prepare technical evaluations.; Develop and review technical proposal includingmethods of work, resource allocation, & schedulingfor construction projects.; Identify and assess tenderedproject risksand propose mitigation strategies.; Coordinate with internal teams and relevant stakeholders during the tender and project preparation stages.; Support project planning and ensure documentation is accurate and well-organized.; Bachelor’s Degree (S1) in Civil Engineering.; Minimum 5 years of working experiencein construction projects (experience intender preparation/analysis also experienced at project management consultant is highly preferred).; Strong knowledge ofconstruction methods and project risk assessment.; Proficient inAutoCAD, Microsoft Project and Microsoft Office.; Detail-oriented, analytical, and well-organized.; Able to workunder tight deadlines and target timelines.; Strongcommunication skillsand the ability towork effectively in a team.; Good command of English(spoken and written).",https://id.jobstreet.com/id/job/91340986?type=standard&ref=search-standalone&origin=cardTitle
Account Executive Manado,PT Galva Galindra Multi Cipta,Manado,Full time,Rp 4.800.000 – Rp 7.000.000 per month,"Build and maintain strong relationships with corporate, government, and dealer clients.; Present, negotiate, and manage offers until closing.; Achieve sales targets and ensure customer satisfaction.; Manage customer databases and coordinate with related departments.; Shows professionalism through proper conduct, work ethic, and personal presentation.; Bachelor’s/Diploma (any major).; Minimum 1 year experience in B2B/B2G Marketing or Sales.; Strong presentation & negotiation skills.; Ambitious, proactive, and eager to grow into higher positions.; Able to drive (SIM C required; SIM A is a plus).",https://id.jobstreet.com/id/job/91234938?type=standard&ref=search-standalone&origin=cardTitle
Teknisi Operator Injection,PT. Fuji Seiki Indonesia,Bandung Barat,Full time,,SMK jurusan teknik mesin/otomotif; Memiliki pengalaman setting/set up mold min. 1 tahun (lebih diutamakan); Dapat mengoperasikan Microsoft Office; Menguasai setting & trouble shooting mesin injection; Mampu bekerja dalam tim maupun individu dan dapat bekerja di bawah tekanan; Siap bekerja di hari libur dan sistem shift; Dapat bergabung secepatnya; Penempatan di Bandung,https://id.jobstreet.com/id/job/91101037?type=standard&ref=search-standalone&origin=cardTitle
Desk Collection,PT Payment Terbaik Indonesia,Jakarta Barat,Full time,Rp 3.500.000 – Rp 5.000.000 per month,"Melakukan penagihan kepada customer melalui telepon (outbound & inbound); Mengelola data customer (outstanding, jatuh tempo, histori pembayaran); Melakukan follow up atas janji pembayaran (PTP); Melakukan negosiasi pembayaran sesuai ketentuan perusahaan; Mencatat hasil komunikasi ke dalam sistem secara akurat; Berkoordinasi dengan tim terkait dalam penanganan kendala; Mencapai target kerja (KPI) yang telah ditetapkan; Menyusun laporan aktivitas penagihan; Pendidikan minimal SMA/SMK; Pengalaman di bidang Desk Collection menjadi nilai tambah; Fresh graduate dipersilakan melamar; Komunikatif dan mampu bernegosiasi dengan baik; Terbiasa bekerja dengan target atau memiliki motivasi kerja yang baik; Mampu mengoperasikan Microsoft Excel (dasar); Teliti, disiplin, dan bertanggung jawab; Bersedia ditempatkan di Meruya, Jakarta Barat; Proses rekrutmen dilakukan langsung oleh perusahaan (tanpa perantara); Tidak ada biaya dalam bentuk apa pun selama proses seleksi; Kandidat yang memenuhi kualifikasi akan diproses lebih lanjut",https://id.jobstreet.com/id/job/91203372?type=standard&ref=search-standalone&origin=cardTitle
ACCOUNTING TAX,PT Binex Logistic,Jakarta Utara,Full time,,"Minimal S1 Accounting; Pengalaman bekerja di Kantor Akuntan Publik & Perusahaan di atas 5 tahun; Ada Brevet A B lebih diutamakan; Bahasa Inggris Aktif lebih disukai; Diutamakan yang berdomisili di Jakarta Pusat, Jakarta Utara, dan Jakarta Barat; Mengontrol A/R dan A/P; Memantau saldo dan mengecek semua pembayaran; Menyusun SPT Tahunan untuk perusahaan shipping line/freight forwarding dan menguasai peraturan perpajakan, pelaporan pajak setiap bulannya, pengecekan semua biaya - biaya, dll",https://id.jobstreet.com/id/job/91210102?type=standard&ref=search-standalone&origin=cardTitle
Warehouse Manager,PT Jarosite,Bali,Full time,,,https://id.jobstreet.com/id/job/91527889?type=standard&ref=search-standalone&origin=cardTitle
Chief Accounting dan Staff Accounting,PT Sam Kyung Jaya Garments,Kabupaten Semarang,Full time,,Pendidikan S1 Akuntansi / Manajemen; Pengalaman min. 7 tahun di bidang Accounting (Chief Accounting); Pengalaman min. 2 tahun di bidang Accounting (Staff Accounting); Memiliki pengalaman bekerja di industri garmen lebih diutamakan; Memahami dan dapat membuat pelaporan pajak dengan sistem Coretax; Menguasai peraturan Bea Cukai; Mahir software Accounting dan Microsoft Office; Memiliki kemampuan untuk mengoperasikan program Accounting,https://id.jobstreet.com/id/job/91497096?type=standard&ref=search-standalone&origin=cardTitle
Legal & Administrative Manager (Real Estate – Bali),ARKURB ASIA GROUP,Bali,Full time,Rp 12.000.000 – Rp 18.000.000 per month,"Manage company legal and administrative matters:PMA structure and complianceOSS system and business licensesConstruction permits (PBG, SLF); PMA structure and compliance; OSS system and business licenses; Construction permits (PBG, SLF); Handle real estate documentation:Lease agreementsLand due diligenceOwnership and legal structures; Lease agreements; Land due diligence; Ownership and legal structures; Coordinate with:NotariesGovernment officesExternal consultants; Notaries; Government offices; External consultants; Ensure full compliance with Indonesian regulations; Monitor and renew all company licenses and legal documents; Identify risks and resolve issues proactively; Fluent in English (mandatory); Minimum 5 years of experience in Indonesia; Proven experience in:Legal/admin for real estate or constructionPMA setup and managementOSS and licensing systems; Legal/admin for real estate or construction; PMA setup and management; OSS and licensing systems; Strong understanding of land and property processes; Ability to work independently and solve problems efficiently; Highly organized, detail-oriented, and reliable; Experience in real estate development or construction companies; Strong network with notaries, consultants, and authorities; Legal background (law degree or equivalent); Work on high-end real estate projects in Bali; Join a fast-growing and ambitious company; High level of responsibility and autonomy; Direct collaboration with management",https://id.jobstreet.com/id/job/91170152?type=standard&ref=search-standalone&origin=cardTitle
Technical Support,PT. Mitra Fajar Selaras,Jakarta Raya,Full time,,"Pendidikan minimal D3 keperawatan (memiliki STR aktif); Diutamakan profesi Ners; Memiliki pengetahuan mengenai Arthoplasty, Spine dan Nail; bersedia ditempatkan di Jakarta & luar Jakarta (Medan, Cirebon, Semarang, Surabaya, Yogyakarta, Solo dll); Memiliki inisiatif yang tinggi, mampu bekerja dalam team maupun individu",https://id.jobstreet.com/id/job/91274675?type=standard&ref=search-standalone&origin=cardTitle
Kitchen Crew,PT Karla Boga Sejahtera,Tangerang Selatan,Full time,,"Ada pengalaman kerja dalam membuat kue tradisional Indonesia; Mempunyai rasa ingin tau yang besar dan siap bekerja keras; Apik dalam memakai peralatan; Mampu berkomunikasi dengan baik; Sistematis, bersih dan tanggap dalam bekerja di dapur; Bersedia bekerja sistem shifting pagi,sore dan malam (dapur buka 24 jam), akhir pekan/libur nasional. (Bila shift malam akan mendapatkan incentive); Bisa bekerja dalam team maupun mandiri; Berdomisi di Tangerang Selatan dan sekitarnya; Nilai plus bila punya SIM A (aktif) dan bisa nyetir dengan baik; Membuat produk dan menyiapkan kue/ produk sesuai SOP dan banyaknya pesanan; Menjaga kebersihan dapur dan semua peralatan yang di gunakan; Membantu melengkapi peralatan dan bahan-bahan kue sesuai yang diperlukan; Mengikuti instruksi sesuai yang diberikan atasan; Bebersih, bebersih dan bebersih; Tunjangan BPJS Ketenagakerjaan; Incentief kerja malam",https://id.jobstreet.com/id/job/91458637?type=standard&ref=search-standalone&origin=cardTitle
KOL Specialist,PT. Sinocare Healthcare Indonesia,Jakarta Utara,Full time,Rp 6.000.000 – Rp 8.000.000 per month,"End-to-end KOL Management ( scouting → negosiasi → kontrak → koordinasi deliverables → monitoring); Campaign Ideation & Execution; Performance Reporting; Operational Admin; 2-3 years experience as KOL Specialist/ Influencer Marketing; Have deep knowledge of Tiktok, Instagram, and Youtube platform; Strong communication skill and organize; Familiar with Tiktok Affiliates & Seller Centre is a plus",https://id.jobstreet.com/id/job/91188843?type=standard&ref=search-standalone&origin=cardTitle
Marketing Communication,PT Saptakarsa Prima,Jakarta Selatan,Full time,Rp 6.500.000 – Rp 9.000.000 per month,"Develop and lead integrated marketing communication strategies to ensure alignment in our Sport Club; Establish and implement guidelines, frameworks, and brand standards to be adopted by all project-level; Oversee and supervise the execution of marketing communication activities across projects to ensure consistency in messaging, branding, and campaign quality.; Drive corporate branding initiatives, including digital presence, website development, and social media strategy, ensuring cohesive brand identity across all channels.; Plan and execute strategic marketing campaigns and promotional initiatives that can be scaled and adapted across multiple projects.; Monitor and control marketing budgets, including planning, tracking, and performance analysis of marketing expenditures.; Collaborate with internal teams to develop content and communication materials (digital, social media, website, and other platforms).; Min. Bachelor's Degree in Marketing, Advertising/Media, Mass Communications, Brand Communication or related field; Proven experience managing or being actively involved in a Padel Community; Minimum 2-3 years of experience in Marketing Communication / Branding / Promotion; Strong experience in campaign execution, digital marketing, and content development; Ability to coordinate with multiple stakeholders and manage project-level teams; Good analytical thinking and hands-on execution capability; Strong interpersonal, leadership, and event management skills.; Passionate about sports and building meaningful communities.; Excellent communication skills (English and Bahasa Indonesia)",https://id.jobstreet.com/id/job/91308609?type=standard&ref=search-standalone&origin=cardTitle
Accounting & Finance Officer,PT Pratesis,Jakarta Selatan,Full time,,"Handle daily accounting operations, including journal entries, accounts payable, accounts receivable, and general ledger maintenance; Ensure accuracy and completeness of financial transactions in accordance with company policies and accounting standards; Perform monthly closing processes, including reconciliations (bank, balance sheet, and intercompany); Prepare financial reports and assist in management reporting; Monitor cash flow and support treasury-related activities; Ensure compliance with tax regulations and assist in tax reporting (PPN, PPh 21/23, etc.); Liaise with external auditors, tax consultants, and internal stakeholders; Support process improvements and implementation of accounting systems or tools; Maintain proper documentation and filing of financial records; Bachelor’s degree in Accounting; Minimum 3 years of relevant experience in accounting & finance, preferably with exposure to operational accounting; Demonstrates maturity, a strong sense of responsibility, and the ability to work independently; Solid understanding of accounting principles and financial reporting (mandatory); Familiar with Indonesian tax regulations and reporting; Proficient in accounting software and Microsoft Excel; Close attention to detail, well-organized, and able to meet deadlines (mandatory); Holds Brevet A & B certification (is a plus)",https://id.jobstreet.com/id/job/91140528?type=standard&ref=search-standalone&origin=cardTitle
Supervisor IT Manufacturing System,Daikin Industries Indonesia,Cikarang,Full time,,"Bachelor's degree in Industrial Engineering, Information Systems, Electrical Engineering, Computer Science, or related fields; Minimum 5 years of experience in MES, Smart Manufacturing, or Digital Transformation roles; Experience supervising or leading small to medium-sized teams; Experience in manufacturing operations (automotive, electronics, or related industries is an advantage); Strong knowledge of manufacturing workflows (production tracking, work order execution, traceability, quality inspection, downtime & OEE); Familiar with PLC, SCADA, IoT sensors, and industrial communication protocols (OPC-UA, Modbus, Ethernet/IP); Understanding of databases (SQL Server, Oracle, MySQL) and data integration; Basic knowledge of APIs, web services, Python, .NET, or other scripting languages; Knowledge of Industry 4.0 concepts (IoT-enabled machines, predictive maintenance, AI analytics, smart factory solutions); Strong problem-solving, analytical thinking, and project management skills; Excellent communication skills with ability to train and guide operators, technicians, and engineers; Lead system enhancements, upgrades, and troubleshooting activities; Oversee end-to-end MES operations, ensuring system stability, availability, and performance; Develop and maintain MES configurations, master data, and workflows; Coordinate with IT, automation teams, vendors, and technical support; Lead initiatives for Industry 4.0 implementation; Identify improvement opportunities through data analytics and shop floor observations; Pilot and implement new technologies (AI, IoT sensors, predictive analytics); Support production teams in resolving MES-related issues; Ensure accurate data capture for OEE, productivity, quality, and traceability; Supervise MES/data system technicians and engineers; Provide regular system performance and improvement progress reports to management",https://id.jobstreet.com/id/job/91559990?type=standard&ref=search-standalone&origin=cardTitle
STAFFF ADMINISTRASI DOMESTIK,PT Anugrah Lautan Nusantara,Surabaya,Full time,,"Membuat Job Order dan menginput data di system PT. ALN; Memproses dan memantau dokumen pengiriman domestik, termasuk surat jalan, invoice pelayaran, faktur pajak, dan dokumen terkait lainnya.; Mengkoordinasikan dan memastikan keakuratan informasi data terkait pesanan pengiriman barang dengan team operasional di lapangan maupun di kantor.; Memberikan dukungan administratif seperti print dokumen pengiriman atau Surat Jalan, BL (bill of lading), fotokopi dan juga pengarsipan Surat Jalan, BL dan dokumen terkait lainnya; Update laporan harian ke atasan; Menjaga komunikasi yang baik dengan pelanggan dan team internal di perusahaan; Melakukan tugas administrasi lainnya yang ditetapkan oleh manajemen.; Minimal D3 dalam bidang Administrasi atau Manajemen Logistik.; Memiliki pengalaman kerja minimal 2 tahun di bidang administrasi atau logistik domestik.; Memiliki pengetahuan yang baik tentang proses pengiriman barang dan dokumentasi terkait.; Terampil dalam menggunakan aplikasi perkantoran, seperti Microsoft Office.; Kemampuan komunikasi yang baik, baik secara lisan maupun tertulis.; Memiliki kemampuan analitis, ketelitian, dan keterampilan organisasi yang kuat.; Bersedia bekerja dalam lingkungan yang dinamis dan berkomitmen terhadap target waktu.",https://id.jobstreet.com/id/job/91347421?type=standard&ref=search-standalone&origin=cardTitle
Chief Financial Officer,PT Bevananda Mustika,Jakarta Raya,Kontrak/Temporer,,"Memimpin pengendalian biaya produksi (Industrial Costing & COGS) untuk meningkatkan margin; Mengelola sistem pelaporan keuangan dan ERP secara real-time; Mengawasi konsolidasi laporan keuangan multi unit bisnis; Menyusun budgeting berbasis produktivitas dan efisiensi; Melakukan analisa investasi (NPV, IRR) untuk ekspansi bisnis; Mengelola tax planning dan memastikan kepatuhan pajak; Mengontrol working capital dan kesehatan arus kas perusahaan; Menjalin hubungan dengan bank, investor, dan stakeholder eksternal; Memberikan strategi keuangan untuk pertumbuhan bisnis perusahaan; Minimal 10–12 tahun pengalaman di bidang Keuangan/Akuntansi; Minimal 5 tahun di posisi Senior Management; Pengalaman di perusahaan manufaktur (baja/kabel/metalurgi lebih disukai); Minimal S1 Akuntansi / Keuangan; MBA atau sertifikasi profesional (CPA / CA / CMA) menjadi nilai tambah; Menguasai Industrial Costing & Manufacturing Finance; Berpengalaman dalam Financial Consolidation Holding; Menguasai Budgeting, Forecasting, dan Financial Planning; Terbiasa menggunakan ERP (SAP / Oracle / Microsoft Dynamics); Memiliki kemampuan analisa yang kuat dan data driven; Leadership dan komunikasi strategis di level Direksi; Memiliki business acumen yang kuat; Berorientasi pada efisiensi dan profitabilitas",https://id.jobstreet.com/id/job/91574599?type=standard&ref=search-standalone&origin=cardTitle
SENIOR WAREHOUSE ADMINISTRATION,PT Canai Indonesia International,Jakarta Barat,Kontrak/Temporer,Rp 6.500.000 – Rp 7.000.000 per month,"Monitor and manage stock levels to ensure inventory accuracy; Implement and maintain inventory control procedures; Receive, inspect, and properly store incoming goods; Prepare orders and coordinate outgoing shipments; Conduct regular stock checks and stock opname; Maintain accurate inventory records and reports; Ensure the warehouse is clean, organized, and safe; Coordinate with suppliers and internal teams; Support smooth day-to-day warehouse operationsQualifications; Experience in stock control and inventory management; Familiar with inventory management systems/tools; Strong communication and coordination skills; Able to work in a fast-paced environment and meet deadlines; Experience in warehouse or supply chain operations is a plus; Detail-oriented with strong organizational skills",https://id.jobstreet.com/id/job/91234318?type=standard&ref=search-standalone&origin=cardTitle
ASSISTANT DIRECTOR,PT KWD Purified Color Board,Tangerang,Full time,Rp 15.000.000 – Rp 20.000.000 per month,"Bahasa Mandarin:fasih, setara penutur asli; Bahasa Indonesia:fasih, setara penutur asli; Bahasa Inggris:mahir dan dapat digunakan dalam komunikasi kerja; Mengelola, mencetak, menyusun, dan mengarsipkan dokumen perusahaan; Mengolah data serta dokumen administrasi dasar menggunakanMicrosoft Excel dan Microsoft Word; Membantu koordinasi dan mendukung kegiatan operasional harian perusahaan; Membantu proses penerjemahan serta menyampaikan instruksi dari pimpinan kepada pihak terkait; Menjadi penghubung komunikasi antarakaryawan Tiongkokdankaryawan Indonesia; Cewe/Cowo; Pendidikan minimal(S1)dari semua jurusan; Memiliki pengalaman kerja minimal1–2 tahunsebagaiAsisten, Admin, atau posisi terkait(lebih diutamakan); Memiliki ketelitian, tanggung jawab, dan etos kerja yang baik; Memiliki kemampuan komunikasi yang jelas, sopan, dan profesional; Mampu memahami instruksi dengan cepat dan tepat; Mampu menangani pekerjaan asisten yang bersifatmultitasking; Bersedia menangani pekerjaan yang bersifatadministratif maupun operasional",https://id.jobstreet.com/id/job/91357097?type=standard&ref=search-standalone&origin=cardTitle
Executive Assistant,PT. ICCS Global Industries,Semarang Tengah,Full time,Rp 4.500.000 – Rp 5.000.000 per month,,https://id.jobstreet.com/id/job/91209717?type=standard&ref=search-standalone&origin=cardTitle
Business Development Manager,PT Gunung Samudera Internasional,Makassar,Full time,Rp 22.000.000 – Rp 28.000.000 per month,"Develop and execute business development strategies aligned with corporate goals; Identify new markets, opportunities, and strategic partnerships; Lead high-level negotiations, contracts, and key client relationships; Oversee proposals, tenders, and commercial processes; Drive revenue growth, manage pipeline, and ensure target achievement; Lead and develop the Business Development team; Collaborate with cross-functional teams to ensure successful execution; Represent the company in strategic meetings, partnerships, and industry events; Bachelor’s degree in Business, Finance, Engineering, or related field (MBA preferred); 10–15+ years of experience in Business Development or commercial roles, with leadership experience; Proven track record in driving revenue growth and market expansion; Strong strategic thinking, negotiation, and stakeholder management skills; Expertise in financial analysis, business modeling, and contract management; Strong skill in making business plans, strong leadership, accountability, and result-driven mindset",https://id.jobstreet.com/id/job/91537736?type=standard&ref=search-standalone&origin=cardTitle
IT/GA Leader,PT. Kanemory Food Service,Kabupaten Serang,Kontrak/Temporer,Rp 5.300.000 – Rp 5.500.000 per month,"Merancang, mengimplementasikan, dan mengelola infrastruktur TI perusahaan, termasuk jaringan, server, dan sistem aplikasi.; Memantau, menganalisis, dan menyelesaikan masalah TI yang muncul untuk memastikan ketersediaan dan kinerja sistem yang optimal.; Mengembangkan dan menerapkan kebijakan, prosedur, dan standar TI untuk meningkatkan efisiensi, keamanan, dan kepatuhan.; Mengawasi dan mengelola tim TI, termasuk pengadaan, pelatihan, dan pengembangan staf.; Bertindak sebagai mitra strategis bagi pemangku kepentingan bisnis untuk mengidentifikasi solusi TI yang selaras dengan tujuan organisasi.; Mengelola anggaran TI dan memastikan penggunaan sumber daya yang efisien.; Bertanggung jawab atas administrasi umum perusahaan, termasuk manajemen fasilitas, pengadaan, dan Mengurus izin operasional perusahaan dan hubungan dengan pihak eksternal.; Gelar sarjana di bidang Teknologi Informasi, Sistem Informasi, atau bidang terkait.; Minimum 3 tahun pengalaman dalam peran kepemimpinan TI atau administrasi umum, lebih disukai di industri manufaktur.; Pemahaman yang mendalam tentang infrastruktur TI, termasuk jaringan, server, keamanan, dan sistem aplikasi.; Kemampuan kepemimpinan yang kuat, dengan pengalaman dalam membangun dan memotivasi tim.; Keahlian dalam manajemen proyek dan kemampuan untuk bekerja dengan berbagai pemangku kepentingan.; Pemikiran strategis dan kemampuan untuk menyelaraskan solusi TI dengan tujuan bisnis.; Kemampuan untuk mengelola anggaran dan sumber daya dengan efektif.; Pengetahuan tentang peraturan dan kepatuhan dalam industri manufaktur.",https://id.jobstreet.com/id/job/91335499?type=standard&ref=search-standalone&origin=cardTitle
Kepala Bagian PPIC Plywood,PT Indo Furnitama Raya,Pasuruan,Full time,,"Lulusan S1 segala jurusan.; Diutamakan berpengalaman diPlywoodminimal 3-5 tahun.; Mampu menyusunscheduleproduksi bulanan.; Mampu melakukan monitor dan memberi datainventorydanstockyang valid.; Mampu menyusunshipment schedulesekaligusproduction planning.; Mampu melakukan evaluasi target dan hasil harian.; Mampu mengukur dan menjamin produktivitas setiap area produksi; Mampu mengevaluasi penggunaan bahan baku dan bahan pembantu, serta menekan setiap keborosan.; Menguasai Ms Word & Excel.; Memiliki kemampuan managerial dan leadership yang baik.; Mampu berkomunikasi dengan baik.; Mampu bekerja secara individu maupun tim.; Bersedia ditempatkan di Pasuruan; Menyusunproduction planningsesuai denganlead time order.; Memastikan ketersediaaninventorybahan baku dan bahan pembantu untuk kelancaran proses produksi.; Bertanggung jawab atas semua kegiatan perencanaan, kontrol proses produksi baik kebutuhan bahan baku dan proses produksi.; Berkoordinasi dengan team dan antar departemen yang berhubungan dengan perencanaan dan pelaksanaan proses produksi.; Memastikan pencapaian sasaran mutu PPIC.; Melaksanakan fungsi evaluasi serta pengembangan bagi departemen PPIC.; Membuat laporan secara periodik kepada atasan dan menganalisa permasalahan kerja yang terjadi.",https://id.jobstreet.com/id/job/91346049?type=standard&ref=search-standalone&origin=cardTitle
Controlling Finance,"Chaya Hantaran Nusantara, PT",Jakarta Pusat,Full time,,"Melakukan analisis keuangan dan membuat laporan keuangan yang komprehensif secara berkala; Mengawasi dan memastikan proses pelaporan keuangan dan pembukuan berjalan dengan efektif dan efisien; Memantau anggaran dan mengidentifikasi area potensial untuk penghematan biaya; Menyiapkan dan menganalisis proyeksi arus kas serta memperbarui prakiraan keuangan secara berkala; Berkoordinasi dengan tim akuntansi dan manajemen untuk menyediakan data dan informasi keuangan yang akurat dan tepat waktu; Memberikan saran dan rekomendasi strategis kepada manajemen berdasarkan analisis keuangan; Memastikan kepatuhan terhadap peraturan dan kebijakan keuangan perusahaan; Gelar sarjana di bidang Akuntansi, Keuangan, atau bidang terkait; Memiliki sertifikasi profesional di bidang keuangan, seperti CPA atau CMA, akan menjadi nilai tambah; Minimal 2 tahun pengalaman dalam peran controlling atau analisis keuangan di perusahaan; Memiliki pengalaman di AR/AP; Mahir dalam penggunaan perangkat lunak akuntansi dan spreadsheet, seperti Microsoft Excel; Kemampuan analitis yang kuat dan pemahaman yang mendalam tentang prinsip-prinsip akuntansi; Memiliki orientasi pada detail dan kemampuan untuk bekerja di bawah tekanan; Komunikasi yang efektif, baik lisan maupun tertulis, untuk berinteraksi dengan berbagai pemangku kepentingan",https://id.jobstreet.com/id/job/91261705?type=standard&ref=search-standalone&origin=cardTitle
PPIC dan Purchasing,PT Kosena Lestari Makmur,Gedangan,Full time,Rp 5.000.000 – Rp 5.250.000 per month,,https://id.jobstreet.com/id/job/91225002?type=standard&ref=search-standalone&origin=cardTitle
Brand Strategist,PT. Tratas Megah Lestari,Jakarta Barat,Full time,Rp 7.000.000 – Rp 10.500.000 per month,,https://id.jobstreet.com/id/job/91586647?type=standard&ref=search-standalone&origin=cardTitle
出纳 - Cashier,PT. DREAME TECHNOLOGY INDONESIA,Jakarta Barat,Full time,,"Perform daily administrative and financial operations including data entry, filing, and document control.; Assist in processing invoices, payments, and reimbursements accurately and timely.; Maintain and update financial records such as transaction logs, expense reports, and petty cash.; Support the preparation of monthly financial reports and other relevant documentation.; Communicate effectively with Mandarin-speaking suppliers, partners, or clients regarding financial documentation and clarification.; Coordinate with finance and accounting teams to ensure compliance with company policies and regulations.; Proven experience in finance, accounting, or administrative roles.; Proficient in spoken and written Mandarin.; Strong attention to detail and organizational skills.; Familiarity with Microsoft Office (especially Excel) and basic accounting software.; Ability to handle confidential information with integrity.; Good communication and time management skills.; Diploma or Bachelor’s degree in Finance, Accounting, Business Administration, or related field preferred.",https://id.jobstreet.com/id/job/91439253?type=standard&ref=search-standalone&origin=cardTitle
Finance & Accounting Staff,Pengiklan Anonim,Jakarta Barat,Full time,Rp 4.000.000 – Rp 5.400.000 per month,"Pendidikan minimal S1 Finance atau Accounting; Memiliki pengalaman di bidangFinance,Accountingminimal 1 tahun; MenguasaisoftwareAkuntansi, diutamakan Accurate; Bertanggung jawab, jujur dan teliti; Dapat bekerja di dalam tim; Mahir dalam pengoperasian komputer (Excel & Word); Melakukan pengaturan keuangan perusahaan.; Melakukan dan penginputan semua transaksi keuangan ke dalam program(accurate).; Memahami prosedur L/C, perbankan; Melakukan pembayaran kepada supplier.; Berhubungan dengan pihak internal maupun eksternal terkait dengan aktivitas keuangan perusahaan.",https://id.jobstreet.com/id/job/91338026?type=standard&ref=search-standalone&origin=cardTitle
Accounting Manager,PT Pesta Pora Abadi,Malang,Full time,,"Proven track record with 6–10 years of progressive experience in Accounting, currently at Manager or Senior Manager level, ideally within QSR, FMCG, or other fast-paced industries; Early career foundation in a reputable Public Accounting Firm (KAP) for 2–5 years is highly preferred, demonstrating strong technical accounting capabilities; Strong business acumen with the ability to drive financial performance, ensure compliance, and support strategic decision-making; Experienced in handling complex financial operations, with a high level of accuracy, integrity, and attention to detail.; Willing to be placed in Malang, East Java",https://id.jobstreet.com/id/job/91123775?type=standard&ref=search-standalone&origin=cardTitle
